16,1,19,21,19,24,18,30,24,9,10,26,10,12,7,30,13,23,21,14,20,7,26,28,25,8,9,1
17,14,15,5,2,14,20,8,15,5,27,22,7,17,21,17,1,8,20,4,21,10,8,18,6,11,8,10
5,22,26,11,15,18,13,11,24,6,24,27,22,30,16,8,26,29,8,3,17,10,27,18,19,6,10,7
6,27,30,22,6,11,3,24,10,17,7,20,5,10,23,25,14,23,12,22,25,30,23,7,4,6,23,26
25,8,23,10,8,6,6,28,6,3,22,11,27,22,29,10,23,18,29,7,18,2,5,27,24,19,13,6
5,23,19,30,18,8,29,2,24,28,13,29,5,26,19,12,1,2,25,3,2,13,15,16,7,17,9,23
4,27,16,19,24,30,23,14,14,22,23,20,23,27,16,26,6,30,3,23,14,23,26,23,25,10,5,23
9,4,23,2,29,7,29,28,12,24,6,5,3,6,28,9,9,5,10,5,27,19,10,8,14,17,10,12
2,24,25,14,26,1,5,11,30,22,22,17,29,19,14,12,25,28,21,8,25,17,15,21,30,30,26,21
24,16,18,13,28,18,27,19,30,22,10,2,2,18,10,17,14,24,7,9,5,29,13,16,27,2,17,15
9,5,14,26,6,15,18,14,4,9,19,12,23,26,13,3,19,19,6,8,7,28,7,6,24,18,16,25
4,2,17,26,1,12,10,26,9,15,26,18,30,27,14,6,6,25,17,10,17,10,28,8,26,10,8,12
28,8,2,19,29,23,11,2,22,23,11,11,16,17,25,4,23,19,8,11,15,2,1,30,2,6,9,24
5,10,30,22,5,28,28,1,13,8,19,8,17,12,14,13,14,6,24,30,16,25,15,8,2,28,28,27
8,3,17,24,14,17,28,12,24,20,6,18,19,25,21,16,1,1,24,3,18,19,16,26,12,10,8,10
26,23,20,8,1,2,23,11,21,26,24,30,14,2,20,25,1,7,11,22,4,30,8,2,4,25,9,19
17,22,12,5,10,18,17,1,30,29,18,18,2,11,25,6,8,25,20,16,30,22,26,6,30,17,7,27
16,19,4,6,24,5,24,30,14,19,21,26,16,19,25,2,19,23,20,24,5,3,24,9,6,23,20,26
27,7,5,23,12,21,16,12,25,13,24,28,17,26,22,19,4,24,1,12,27,24,18,7,28,14,22,14
25,26,30,1,15,29,3,7,14,29,15,25,3,13,7,6,30,23,7,10,11,5,6,13,23,9,29,4
19,29,26,28,29,3,17,30,13,24,13,19,23,15,6,6,9,6,9,15,17,12,8,5,7,12,3,20
20,18,9,7,30,30,18,16,4,18,26,1,27,8,23,6,10,19,18,26,30,30,5,17,1,15,17,8
